Population,Colony_ID,Distance(m),Bee_Id,Dance_No .,Waggle_run_No.,Start_frame,End_frame,Frame_difference,Waggle_run_duration(s),Mean_frame_difference,Mean_waggle_run_duration(s)
Apis cerana indica,Colony_2,50,BA,1,1,26642,26671,29,0.491525423,27.77777778,0.470809792
Apis cerana indica,Colony_2,50,BA,1,2,26733,26766,33,0.559322033,,
Apis cerana indica,Colony_2,50,BA,1,3,26820,26848,28,0.47457627,,
Apis cerana indica,Colony_2,50,BA,1,4,26901,26929,28,0.47457627,,
Apis cerana indica,Colony_2,50,BA,1,5,26979,27008,29,0.491525423,,
Apis cerana indica,Colony_2,50,BA,1,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,50,BA,1,6,27482,27510,28,0.47457627,,
Apis cerana indica,Colony_2,50,BA,1,7,27580,27625,45,0.762711863,,
Apis cerana indica,Colony_2,50,BA,1,8,27691,27723,32,0.54237288,,
Apis cerana indica,Colony_2,50,BA,1,9,27775,27798,23,0.389830508,,
Apis cerana indica,Colony_2,50,BA,1,10,27855,27874,19,0.322033898,,
Apis cerana indica,Colony_2,50,BA,1,11,27940,27970,30,0.508474575,,
Apis cerana indica,Colony_2,50,BA,1,12,28033,28064,31,0.525423728,,
Apis cerana indica,Colony_2,50,BA,1,13,28127,28158,31,0.525423728,,
Apis cerana indica,Colony_2,50,BA,1,14,28214,28240,26,0.440677965,,
Apis cerana indica,Colony_2,50,BA,1,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,50,BA,1,15,28627,28652,25,0.423728813,,
Apis cerana indica,Colony_2,50,BA,1,16,28718,28739,21,0.355932203,,
Apis cerana indica,Colony_2,50,BA,1,17,28801,28819,18,0.305084745,,
Apis cerana indica,Colony_2,50,BA,1,18,28879,28903,24,0.40677966,,
Apis cerana indica,Colony_2,50,GT,1,1,10743,10768,25,0.423728813,29.5,0.499999999
Apis cerana indica,Colony_2,50,GT,1,2,10887,10903,16,0.27118644,,
Apis cerana indica,Colony_2,50,GT,1,3,11085,11106,21,0.355932203,,
Apis cerana indica,Colony_2,50,GT,1,4,11169,11199,30,0.508474575,,
Apis cerana indica,Colony_2,50,GT,1,5,11250,11264,14,0.237288135,,
Apis cerana indica,Colony_2,50,GT,1,6,11314,11345,31,0.525423728,,
Apis cerana indica,Colony_2,50,GT,1,7,11404,11450,46,0.779661015,,
Apis cerana indica,Colony_2,50,GT,1,8,11519,11558,39,0.661016948,,
Apis cerana indica,Colony_2,50,GT,1,9,11581,11599,18,0.305084745,,
Apis cerana indica,Colony_2,50,GT,1,10,11674,11700,26,0.440677965,,
Apis cerana indica,Colony_2,50,GT,1,11,11758,11795,37,0.627118643,,
Apis cerana indica,Colony_2,50,GT,1,12,11872,11894,22,0.372881355,,
Apis cerana indica,Colony_2,50,GT,1,13,11959,11986,27,0.457627118,,
Apis cerana indica,Colony_2,50,GT,1,14,12051,12078,27,0.457627118,,
Apis cerana indica,Colony_2,50,GT,1,15,12140,12174,34,0.576271185,,
Apis cerana indica,Colony_2,50,GT,1,16,12233,12251,18,0.305084745,,
Apis cerana indica,Colony_2,50,GT,1,17,12325,12371,46,0.779661015,,
Apis cerana indica,Colony_2,50,GT,1,18,12438,12466,28,0.47457627,,
Apis cerana indica,Colony_2,50,GT,1,19,12521,12555,34,0.576271185,,
Apis cerana indica,Colony_2,50,GT,1,20,12632,12649,17,0.288135593,,
Apis cerana indica,Colony_2,50,GT,1,21,12699,12727,28,0.47457627,,
Apis cerana indica,Colony_2,50,GT,1,22,12771,12807,36,0.61016949,,
Apis cerana indica,Colony_2,50,GT,1,23,12865,12896,31,0.525423728,,
Apis cerana indica,Colony_2,50,GT,1,24,12968,13002,34,0.576271185,,
Apis cerana indica,Colony_2,50,GT,1,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,50,GT,1,25,13223,13253,30,0.508474575,,
Apis cerana indica,Colony_2,50,GT,1,26,13295,13325,30,0.508474575,,
Apis cerana indica,Colony_2,50,GT,1,27,13369,13405,36,0.61016949,,
Apis cerana indica,Colony_2,50,GT,1,28,13462,13501,39,0.661016948,,
Apis cerana indica,Colony_2,50,GT,1,29,13561,13598,37,0.627118643,,
Apis cerana indica,Colony_2,50,GT,1,30,13667,13689,22,0.372881355,,
Apis cerana indica,Colony_2,50,GT,1,31,13747,13773,26,0.440677965,,
Apis cerana indica,Colony_2,50,GT,1,32,13841,13876,35,0.593220338,,
Apis cerana indica,Colony_2,50,GT,1,33,13975,14017,42,0.711864405,,
Apis cerana indica,Colony_2,50,GT,1,34,14094,14115,21,0.355932203,,
Apis cerana indica,Colony_2,50,GT,1,35,14206,14237,31,0.525423728,,
Apis cerana indica,Colony_2,50,GT,1,36,14272,14285,13,0.220338983,,
Apis cerana indica,Colony_2,50,GT,1,37,14332,14356,24,0.40677966,,
Apis cerana indica,Colony_2,50,GT,2,1,18701,18732,31,0.525423728,23.94444444,0.40583804
Apis cerana indica,Colony_2,50,GT,2,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,50,GT,2,2,18871,18896,25,0.423728813,,
Apis cerana indica,Colony_2,50,GT,2,3,18950,18969,19,0.322033898,,
Apis cerana indica,Colony_2,50,GT,2,4,19033,19049,16,0.27118644,,
Apis cerana indica,Colony_2,50,GT,2,5,19104,19122,18,0.305084745,,
Apis cerana indica,Colony_2,50,GT,2,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,50,GT,2,6,19867,19893,26,0.440677965,,
Apis cerana indica,Colony_2,50,GT,2,7,19936,19959,23,0.389830508,,
Apis cerana indica,Colony_2,50,GT,2,8,20010,20038,28,0.47457627,,
Apis cerana indica,Colony_2,50,GT,2,9,20084,20107,23,0.389830508,,
Apis cerana indica,Colony_2,50,GT,2,10,20163,20189,26,0.440677965,,
Apis cerana indica,Colony_2,50,GT,2,11,20236,20256,20,0.33898305,,
Apis cerana indica,Colony_2,50,GT,2,12,20312,20337,25,0.423728813,,
Apis cerana indica,Colony_2,50,GT,2,13,20391,20410,19,0.322033898,,
Apis cerana indica,Colony_2,50,GT,2,14,20460,20497,37,0.627118643,,
Apis cerana indica,Colony_2,50,GT,2,15,20535,20564,29,0.491525423,,
Apis cerana indica,Colony_2,50,GT,2,16,20646,20666,20,0.33898305,,
Apis cerana indica,Colony_2,50,GT,2,17,20720,20748,28,0.47457627,,
Apis cerana indica,Colony_2,50,GT,2,18,20817,20835,18,0.305084745,,
Apis cerana indica,Colony_2,50,GT,3,1,25844,25868,24,0.40677966,27.5,0.466101694
Apis cerana indica,Colony_2,50,GT,3,2,25937,25952,15,0.254237288,,
Apis cerana indica,Colony_2,50,GT,3,3,26039,26078,39,0.661016948,,
Apis cerana indica,Colony_2,50,GT,3,4,26140,26166,26,0.440677965,,
Apis cerana indica,Colony_2,50,GT,3,5,26256,26283,27,0.457627118,,
Apis cerana indica,Colony_2,50,GT,3,6,26339,26382,43,0.728813558,,
Apis cerana indica,Colony_2,50,GT,3,7,26445,26469,24,0.40677966,,
Apis cerana indica,Colony_2,50,GT,3,8,26515,26537,22,0.372881355,,
Apis cerana indica,Colony_2,50,PA,1,1,15882,15925,43,0.728813558,32,0.54237288
Apis cerana indica,Colony_2,50,PA,1,2,16005,16026,21,0.355932203,,
Apis cerana indica,Colony_2,50,PA,1,3,16089,16106,17,0.288135593,,
Apis cerana indica,Colony_2,50,PA,1,4,16160,16209,49,0.830508473,,
Apis cerana indica,Colony_2,50,PA,1,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,50,PA,1,5,16508,16538,30,0.508474575,,
Apis cerana indica,Colony_2,50,PA,1,6,16614,16646,32,0.54237288,,
Apis cerana indica,Colony_2,50,YA,1,1,5412,5451,39,0.661016948,28.4,0.481355931
Apis cerana indica,Colony_2,50,YA,1,2,5499,5525,26,0.440677965,,
Apis cerana indica,Colony_2,50,YA,1,3,5657,5679,22,0.372881355,,
Apis cerana indica,Colony_2,50,YA,1,4,5737,5773,36,0.61016949,,
Apis cerana indica,Colony_2,50,YA,1,5,5857,5876,19,0.322033898,,
Apis cerana indica,Colony_2,50,YA,2,1,10894,10922,28,0.47457627,29.35294118,0.497507476
Apis cerana indica,Colony_2,50,YA,2,2,10973,11000,27,0.457627118,,
Apis cerana indica,Colony_2,50,YA,2,3,11055,11080,25,0.423728813,,
Apis cerana indica,Colony_2,50,YA,2,4,11142,11171,29,0.491525423,,
Apis cerana indica,Colony_2,50,YA,2,5,11218,11241,23,0.389830508,,
Apis cerana indica,Colony_2,50,YA,2,6,11301,11330,29,0.491525423,,
Apis cerana indica,Colony_2,50,YA,2,7,11394,11462,68,1.15254237,,
Apis cerana indica,Colony_2,50,YA,2,8,11531,11570,39,0.661016948,,
Apis cerana indica,Colony_2,50,YA,2,7,11644,11667,23,0.389830508,,
Apis cerana indica,Colony_2,50,YA,2,8,11724,11756,32,0.54237288,,
Apis cerana indica,Colony_2,50,YA,2,9,11815,11844,29,0.491525423,,
Apis cerana indica,Colony_2,50,YA,2,10,11897,11915,18,0.305084745,,
Apis cerana indica,Colony_2,50,YA,2,11,12371,12403,32,0.54237288,,
Apis cerana indica,Colony_2,50,YA,2,12,12457,12483,26,0.440677965,,
Apis cerana indica,Colony_2,50,YA,2,13,12548,12572,24,0.40677966,,
Apis cerana indica,Colony_2,50,YA,2,14,12620,12643,23,0.389830508,,
Apis cerana indica,Colony_2,50,YA,2,15,12718,12742,24,0.40677966,,
Apis cerana indica,Colony_2,50,YTYW,1,1,23622,23641,19,0.322033898,21,0.355932203
Apis cerana indica,Colony_2,50,YTYW,1,2,23738,23759,21,0.355932203,,
Apis cerana indica,Colony_2,50,YTYW,1,3,23815,23830,15,0.254237288,,
Apis cerana indica,Colony_2,50,YTYW,1,4,23917,23946,29,0.491525423,,
Apis cerana indica,Colony_2,100, BT,1,1,269,305,36,0.61016949,34.33333333,0.581920903
Apis cerana indica,Colony_2,100, BT,1,2,383,415,32,0.54237288,,
Apis cerana indica,Colony_2,100, BT,1,3,479,507,28,0.47457627,,
Apis cerana indica,Colony_2,100, BT,1,4,569,599,30,0.508474575,,
Apis cerana indica,Colony_2,100, BT,1,5,663,699,36,0.61016949,,
Apis cerana indica,Colony_2,100, BT,1,6,753,788,35,0.593220338,,
Apis cerana indica,Colony_2,100, BT,1,7,845,880,35,0.593220338,,
Apis cerana indica,Colony_2,100, BT,1,8,946,980,34,0.576271185,,
Apis cerana indica,Colony_2,100, BT,1,9,1032,1075,43,0.728813558,,
Apis cerana indica,Colony_2,100,BT,2,1,3434,3464,30,0.508474575,30,0.508474575
Apis cerana indica,Colony_2,100,BT,3,1,32710,32752,42,0.711864405,58.42857143,0.990314768
Apis cerana indica,Colony_2,100,BT,3,2,32807,32841,34,0.576271185,,
Apis cerana indica,Colony_2,100,BT,3,3,32901,32925,24,0.40677966,,
Apis cerana indica,Colony_2,100,BT,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,BT,3,4,33190,33217,27,0.457627118,,
Apis cerana indica,Colony_2,100,BT,3,5,33284,33326,42,0.711864405,,
Apis cerana indica,Colony_2,100,BT,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,BT,3,6,33485,33515,30,0.508474575,,
Apis cerana indica,Colony_2,100,BT,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,BT,3,7,33677,33710,33,0.559322033,,
Apis cerana indica,Colony_2,100,BT,3,8,33812,33831,19,0.322033898,,
Apis cerana indica,Colony_2,100,BT,3,9,33895,33933,38,0.644067795,,
Apis cerana indica,Colony_2,100,BT,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,BT,3,10,34659,34694,35,0.593220338,,
Apis cerana indica,Colony_2,100,BT,3,11,34862,34885,23,0.389830508,,
Apis cerana indica,Colony_2,100,BT,3,12,34559,34983,424,7.18644066,,
Apis cerana indica,Colony_2,100,BT,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,BT,3,13,35263,35294,31,0.525423728,,
Apis cerana indica,Colony_2,100,BT,3,14,35372,35388,16,0.27118644,,
Apis cerana indica,Colony_2,100,GG,1,1,35722,35763,41,0.694915253,41,0.694915253
Apis cerana indica,Colony_2,100,GT,1,1,1962,1991,29,0.491525423,31.83333333,0.539548021
Apis cerana indica,Colony_2,100,GT,1,2,2043,2075,32,0.54237288,,
Apis cerana indica,Colony_2,100,GT,1,3,2132,2160,28,0.47457627,,
Apis cerana indica,Colony_2,100,GT,1,4,2227,2262,35,0.593220338,,
Apis cerana indica,Colony_2,100,GT,1,5,2321,2347,26,0.440677965,,
Apis cerana indica,Colony_2,100,GT,1,6,2408,2449,41,0.694915253,,
Apis cerana indica,Colony_2,100,GT,2,1,9057,9093,36,0.61016949,31.6,0.535593219
Apis cerana indica,Colony_2,100,GT,2,2,9153,9188,35,0.593220338,,
Apis cerana indica,Colony_2,100,GT,2,3,9242,9262,20,0.33898305,,
Apis cerana indica,Colony_2,100,GT,2,4,9337,9379,42,0.711864405,,
Apis cerana indica,Colony_2,100,GT,2,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,GT,2,5,9636,9665,29,0.491525423,,
Apis cerana indica,Colony_2,100,GT,2,6,9738,9775,37,0.627118643,,
Apis cerana indica,Colony_2,100,GT,2,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,GT,2,7,10081,10117,36,0.61016949,,
Apis cerana indica,Colony_2,100,GT,2,8,10170,10199,29,0.491525423,,
Apis cerana indica,Colony_2,100,GT,2,9,10262,10297,35,0.593220338,,
Apis cerana indica,Colony_2,100,GT,2,10,10356,10386,30,0.508474575,,
Apis cerana indica,Colony_2,100,GT,2,11,10442,10472,30,0.508474575,,
Apis cerana indica,Colony_2,100,GT,2,12,10530,10566,36,0.61016949,,
Apis cerana indica,Colony_2,100,GT,2,13,10626,10646,20,0.33898305,,
Apis cerana indica,Colony_2,100,GT,2,14,10703,10742,39,0.661016948,,
Apis cerana indica,Colony_2,100,GT,2,15,10794,10814,20,0.33898305,,
Apis cerana indica,Colony_2,100,GT,3,1,28643,28665,22,0.372881355,28.55555556,0.483992466
Apis cerana indica,Colony_2,100,GT,3,2,28740,28771,31,0.525423728,,
Apis cerana indica,Colony_2,100,GT,3,3,28835,28866,31,0.525423728,,
Apis cerana indica,Colony_2,100,GT,3,4,28927,28966,39,0.661016948,,
Apis cerana indica,Colony_2,100,GT,3,5,29050,29068,18,0.305084745,,
Apis cerana indica,Colony_2,100,GT,3,6,29140,29177,37,0.627118643,,
Apis cerana indica,Colony_2,100,GT,3,7,29255,29274,19,0.322033898,,
Apis cerana indica,Colony_2,100,GT,3,8,29340,29369,29,0.491525423,,
Apis cerana indica,Colony_2,100,GT,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,GT,3,9,29628,29659,31,0.525423728,,
Apis cerana indica,Colony_2,100,GT,4,1,1523,1553,30,0.508474575,33.5,0.567796609
Apis cerana indica,Colony_2,100,GT,4,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,GT,4,2,1883,1923,40,0.6779661,,
Apis cerana indica,Colony_2,100,GT,4,3,1993,2020,27,0.457627118,,
Apis cerana indica,Colony_2,100,GT,4,4,2077,2114,37,0.627118643,,
Apis cerana indica,Colony_2,100,GY,1,1,29059,29086,27,0.457627118,43.5,0.737288134
Apis cerana indica,Colony_2,100,GY,1,2,29145,29209,64,1.08474576,,
Apis cerana indica,Colony_2,100,GY,1,4,29350,29392,42,0.711864405,,
Apis cerana indica,Colony_2,100,GY,1,5,29477,29518,41,0.694915253,,
Apis cerana indica,Colony_2,100,GY,2,1,37800,37851,51,0.864406778,36.5,0.618644066
Apis cerana indica,Colony_2,100,GY,2,2,37974,37996,22,0.372881355,,
Apis cerana indica,Colony_2,100,OO,1,1,26857,26891,34,0.576271185,27,0.457627118
Apis cerana indica,Colony_2,100,OO,1,2,26965,26976,11,0.186440678,,
Apis cerana indica,Colony_2,100,OO,1,3,27049,27077,28,0.47457627,,
Apis cerana indica,Colony_2,100,OO,1,4,27152,27178,26,0.440677965,,
Apis cerana indica,Colony_2,100,OO,1,5,27245,27275,30,0.508474575,,
Apis cerana indica,Colony_2,100,OO,1,6,27340,27372,32,0.54237288,,
Apis cerana indica,Colony_2,100,OO,1,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,OO,1,7,27536,27564,28,0.47457627,,
Apis cerana indica,Colony_2,100,OO,2,1,36798,36840,42,0.711864405,38.07142857,0.645278449
Apis cerana indica,Colony_2,100,OO,2,2,36902,36957,55,0.932203388,,
Apis cerana indica,Colony_2,100,OO,2,3,37021,37060,39,0.661016948,,
Apis cerana indica,Colony_2,100,OO,2,4,37122,37166,44,0.74576271,,
Apis cerana indica,Colony_2,100,OO,2,5,37249,37278,29,0.491525423,,
Apis cerana indica,Colony_2,100,OO,2,6,37332,37377,45,0.762711863,,
Apis cerana indica,Colony_2,100,OO,2,7,37431,37481,50,0.847457625,,
Apis cerana indica,Colony_2,100,OO,2,8,37553,37584,31,0.525423728,,
Apis cerana indica,Colony_2,100,OO,2,9,37649,37690,41,0.694915253,,
Apis cerana indica,Colony_2,100,OO,2,10,37758,37790,32,0.54237288,,
Apis cerana indica,Colony_2,100,OO,2,11,37858,37905,47,0.796610168,,
Apis cerana indica,Colony_2,100,OO,2,12,37958,37983,25,0.423728813,,
Apis cerana indica,Colony_2,100,OO,2,13,38073,38096,23,0.389830508,,
Apis cerana indica,Colony_2,100,OO,2,14,271,301,30,0.508474575,,
Apis cerana indica,Colony_2,100,OO,3,1,5602,5634,32,0.54237288,33.6,0.569491524
Apis cerana indica,Colony_2,100,OO,3,2,5693,5737,44,0.74576271,,
Apis cerana indica,Colony_2,100,OO,3,3,5802,5834,32,0.54237288,,
Apis cerana indica,Colony_2,100,OO,3,4,5892,5931,39,0.661016948,,
Apis cerana indica,Colony_2,100,OO,3,5,5999,6030,31,0.525423728,,
Apis cerana indica,Colony_2,100,OO,3,6,6091,6122,31,0.525423728,,
Apis cerana indica,Colony_2,100,OO,3,7,6180,6214,34,0.576271185,,
Apis cerana indica,Colony_2,100,OO,3,8,6303,6332,29,0.491525423,,
Apis cerana indica,Colony_2,100,OO,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,OO,3,9,6470,6501,31,0.525423728,,
Apis cerana indica,Colony_2,100,OO,3,10,6550,6583,33,0.559322033,,
Apis cerana indica,Colony_2,100,OO,4,1,13521,13554,33,0.559322033,35.57692308,0.602998695
Apis cerana indica,Colony_2,100,OO,4,2,13628,13665,37,0.627118643,,
Apis cerana indica,Colony_2,100,OO,4,3,13726,13757,31,0.525423728,,
Apis cerana indica,Colony_2,100,OO,4,4,13828,13866,38,0.644067795,,
Apis cerana indica,Colony_2,100,OO,4,5,13938,13971,33,0.559322033,,
Apis cerana indica,Colony_2,100,OO,4,6,14038,14076,38,0.644067795,,
Apis cerana indica,Colony_2,100,OO,4,7,14139,14186,47,0.796610168,,
Apis cerana indica,Colony_2,100,OO,4,8,14246,14286,40,0.6779661,,
Apis cerana indica,Colony_2,100,OO,4,9,14357,14399,42,0.711864405,,
Apis cerana indica,Colony_2,100,OO,4,10,14462,14496,34,0.576271185,,
Apis cerana indica,Colony_2,100,OO,4,11,14615,14661,46,0.779661015,,
Apis cerana indica,Colony_2,100,OO,4,12,14719,14762,43,0.728813558,,
Apis cerana indica,Colony_2,100,OO,4,13,14825,14863,38,0.644067795,,
Apis cerana indica,Colony_2,100,OO,4,14,14953,14987,34,0.576271185,,
Apis cerana indica,Colony_2,100,OO,4,15,15049,15074,25,0.423728813,,
Apis cerana indica,Colony_2,100,OO,4,16,15156,15184,28,0.47457627,,
Apis cerana indica,Colony_2,100,OO,4,17,15247,15275,28,0.47457627,,
Apis cerana indica,Colony_2,100,OO,4,18,15354,15402,48,0.81355932,,
Apis cerana indica,Colony_2,100,OO,4,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,OO,4,19,16036,16077,41,0.694915253,,
Apis cerana indica,Colony_2,100,OO,4,20,16147,16180,33,0.559322033,,
Apis cerana indica,Colony_2,100,OO,4,21,16241,16286,45,0.762711863,,
Apis cerana indica,Colony_2,100,OO,4,22,16355,16386,31,0.525423728,,
Apis cerana indica,Colony_2,100,OO,4,23,16460,16483,23,0.389830508,,
Apis cerana indica,Colony_2,100,OO,4,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,OO,4,24,16667,16697,30,0.508474575,,
Apis cerana indica,Colony_2,100,OO,4,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,OO,4,25,16972,17002,30,0.508474575,,
Apis cerana indica,Colony_2,100,OO,4,26,17102,17131,29,0.491525423,,
Apis cerana indica,Colony_2,100,OO,5,1,30200,30230,30,0.508474575,30.6,0.518644067
Apis cerana indica,Colony_2,100,OO,5,2,30291,30310,19,0.322033898,,
Apis cerana indica,Colony_2,100,OO,5,3,30403,30431,28,0.47457627,,
Apis cerana indica,Colony_2,100,OO,5,4,30510,30548,38,0.644067795,,
Apis cerana indica,Colony_2,100,OO,5,5,30631,30669,38,0.644067795,,
Apis cerana indica,Colony_2,100,OT,1,1,10688,10713,25,0.423728813,20.52941176,0.347956131
Apis cerana indica,Colony_2,100,OT,1,2,10801,10819,18,0.305084745,,
Apis cerana indica,Colony_2,100,OT,1,3,10883,10898,15,0.254237288,,
Apis cerana indica,Colony_2,100,OT,1,4,10980,11010,30,0.508474575,,
Apis cerana indica,Colony_2,100,OT,1,5,11086,11104,18,0.305084745,,
Apis cerana indica,Colony_2,100,OT,1,6,11170,11195,25,0.423728813,,
Apis cerana indica,Colony_2,100,OT,1,7,11265,11291,26,0.440677965,,
Apis cerana indica,Colony_2,100,OT,1,8,11355,11385,30,0.508474575,,
Apis cerana indica,Colony_2,100,OT,1,9,11451,11472,21,0.355932203,,
Apis cerana indica,Colony_2,100,OT,1,10,11552,11575,23,0.389830508,,
Apis cerana indica,Colony_2,100,OT,1,11,11634,11654,20,0.33898305,,
Apis cerana indica,Colony_2,100,OT,1,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,OT,1,12,11896,11912,16,0.27118644,,
Apis cerana indica,Colony_2,100,OT,1,13,11990,12011,21,0.355932203,,
Apis cerana indica,Colony_2,100,OT,1,14,12098,12112,14,0.237288135,,
Apis cerana indica,Colony_2,100,OT,1,15,12187,12208,21,0.355932203,,
Apis cerana indica,Colony_2,100,OT,1,16,12306,12318,12,0.20338983,,
Apis cerana indica,Colony_2,100,OT,1,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,OT,1,17,12515,12529,14,0.237288135,,
Apis cerana indica,Colony_2,100,OT,2,1,25842,25859,17,0.288135593,21.07142857,0.357142856
Apis cerana indica,Colony_2,100,OT,2,2,25931,25947,16,0.27118644,,
Apis cerana indica,Colony_2,100,OT,2,3,26072,26094,22,0.372881355,,
Apis cerana indica,Colony_2,100,OT,2,4,26175,26214,39,0.661016948,,
Apis cerana indica,Colony_2,100,OT,2,5,26383,26416,33,0.559322033,,
Apis cerana indica,Colony_2,100,OT,2,6,26533,26551,18,0.305084745,,
Apis cerana indica,Colony_2,100,OT,2,7,26641,26655,14,0.237288135,,
Apis cerana indica,Colony_2,100,OT,2,8,26741,26754,13,0.220338983,,
Apis cerana indica,Colony_2,100,OT,2,9,26834,26852,18,0.305084745,,
Apis cerana indica,Colony_2,100,OT,2,10,26923,26947,24,0.40677966,,
Apis cerana indica,Colony_2,100,OT,2,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,OT,2,11,27296,27322,26,0.440677965,,
Apis cerana indica,Colony_2,100,OT,2,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,OT,2,12,27506,27532,26,0.440677965,,
Apis cerana indica,Colony_2,100,OT,2,13,27619,27629,10,0.169491525,,
Apis cerana indica,Colony_2,100,OT,2,14,27853,27872,19,0.322033898,,
Apis cerana indica,Colony_2,100,OT,3,1,28768,28793,25,0.423728813,22.35294118,0.378863409
Apis cerana indica,Colony_2,100,OT,3,2,28865,28884,19,0.322033898,,
Apis cerana indica,Colony_2,100,OT,3,3,28955,28985,30,0.508474575,,
Apis cerana indica,Colony_2,100,OT,3,4,29051,29073,22,0.372881355,,
Apis cerana indica,Colony_2,100,OT,3,5,29176,29198,22,0.372881355,,
Apis cerana indica,Colony_2,100,OT,3,6,29267,29285,18,0.305084745,,
Apis cerana indica,Colony_2,100,OT,3,7,29401,29426,25,0.423728813,,
Apis cerana indica,Colony_2,100,OT,3,8,29506,29523,17,0.288135593,,
Apis cerana indica,Colony_2,100,OT,3,9,29602,29624,22,0.372881355,,
Apis cerana indica,Colony_2,100,OT,3,10,29695,29713,18,0.305084745,,
Apis cerana indica,Colony_2,100,OT,3,11,29791,29825,34,0.576271185,,
Apis cerana indica,Colony_2,100,OT,3,12,29919,29935,16,0.27118644,,
Apis cerana indica,Colony_2,100,OT,3,13,30025,30046,21,0.355932203,,
Apis cerana indica,Colony_2,100,OT,3,14,30116,30141,25,0.423728813,,
Apis cerana indica,Colony_2,100,OT,3,15,30219,30240,21,0.355932203,,
Apis cerana indica,Colony_2,100,OT,3,16,30320,30340,20,0.33898305,,
Apis cerana indica,Colony_2,100,OT,3,17,30440,30465,25,0.423728813,,
Apis cerana indica,Colony_2,100,OT,4,1,3958,4004,46,0.779661015,25.96296296,0.440050219
Apis cerana indica,Colony_2,100,OT,4,2,4076,4102,26,0.440677965,,
Apis cerana indica,Colony_2,100,OT,4,3,4168,4191,23,0.389830508,,
Apis cerana indica,Colony_2,100,OT,4,4,4270,4304,34,0.576271185,,
Apis cerana indica,Colony_2,100,OT,4,5,4373,4399,26,0.440677965,,
Apis cerana indica,Colony_2,100,OT,4,6,4467,4489,22,0.372881355,,
Apis cerana indica,Colony_2,100,OT,4,7,4599,4620,21,0.355932203,,
Apis cerana indica,Colony_2,100,OT,4,8,4743,4767,24,0.40677966,,
Apis cerana indica,Colony_2,100,OT,4,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,OT,4,9,4956,4984,28,0.47457627,,
Apis cerana indica,Colony_2,100,OT,4,10,5059,5092,33,0.559322033,,
Apis cerana indica,Colony_2,100,OT,4,11,5165,5192,27,0.457627118,,
Apis cerana indica,Colony_2,100,OT,4,12,5266,5285,19,0.322033898,,
Apis cerana indica,Colony_2,100,OT,4,13,5391,5414,23,0.389830508,,
Apis cerana indica,Colony_2,100,OT,4,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,OT,4,14,5584,5612,28,0.47457627,,
Apis cerana indica,Colony_2,100,OT,4,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,OT,4,15,5806,5831,25,0.423728813,,
Apis cerana indica,Colony_2,100,OT,4,16,5907,5927,20,0.33898305,,
Apis cerana indica,Colony_2,100,OT,4,17,6005,6035,30,0.508474575,,
Apis cerana indica,Colony_2,100,OT,4,18,6114,6141,27,0.457627118,,
Apis cerana indica,Colony_2,100,OT,4,19,6218,6232,14,0.237288135,,
Apis cerana indica,Colony_2,100,OT,4,20,6303,6321,18,0.305084745,,
Apis cerana indica,Colony_2,100,OT,4,21,6383,6407,24,0.40677966,,
Apis cerana indica,Colony_2,100,OT,4,22,6472,6497,25,0.423728813,,
Apis cerana indica,Colony_2,100,OT,4,23,6571,6601,30,0.508474575,,
Apis cerana indica,Colony_2,100,OT,4,24,6652,6673,21,0.355932203,,
Apis cerana indica,Colony_2,100,OT,4,25,6738,6768,30,0.508474575,,
Apis cerana indica,Colony_2,100,OT,4,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_2,100,OT,4,26,6937,6964,27,0.457627118,,
